"shared_at","x_account","x_post_id","x_post_url","share_type","arxiv_id","arxiv_url","post_text","first_seen_at"
"2026-08-26T21:24:04.000Z","fly51fly","2092724786514546852","https://x.com/fly51fly/status/2092724786514546852","post","2608.24004","https://arxiv.org/abs/2608.24004","[CL] AgentSpec: Speculative Decoding for Batch Inference of LLM Agents X Wang, Z Miao, Y Zhu, H Shen… [The Ohio State University &amp; Microsoft Research &amp; University of Michigan] (2026) https://t.co/nGGtwose8U https://t.co/UYMlP5l6KO","2026-08-27T19:25:18.950Z"
"2026-08-26T21:16:41.000Z","fly51fly","2092722925485056106","https://x.com/fly51fly/status/2092722925485056106","post","2608.24306","https://arxiv.org/abs/2608.24306","[CL] Who is the Agent to Blame? Localizing Faithfulness and Citation Mistakes in Agentic Deep Research E Hirsch, D Wan, H Wang, E Stengel-Eskin… [Bar-Ilan University &amp; UNC Chapel Hill] (2026) https://t.co/ykx5qjWnlN https://t.co/UrPsjAnnDS","2026-08-27T19:25:18.950Z"
"2026-08-26T21:07:57.000Z","fly51fly","2092720728995254297","https://x.com/fly51fly/status/2092720728995254297","post","2608.24658","https://arxiv.org/abs/2608.24658","[AI] Parason: Revealing Subtask and Trial Parallelism in LLM Reasoning Z Zhang, Z Zhang, J Gao, S Xu… [Tsinghua University &amp; NVIDIA] (2026) https://t.co/7lUouQINnM https://t.co/ZdVmiGUcN3","2026-08-27T19:25:18.950Z"
"2026-08-26T14:39:41.000Z","fly51fly","2092623017637802363","https://x.com/fly51fly/status/2092623017637802363","post","2608.24735","https://arxiv.org/abs/2608.24735","[AI] Metan^n: Recursive Self-Improvement through Emergent Depth Z M Kim, Y Lee, S Jwa, D Kang [University of Minnesota &amp; Seoul National University] (2026) https://t.co/aHo4tvzYYu https://t.co/HGifLhPJvy","2026-08-27T19:25:18.950Z"
"2026-08-26T14:35:09.000Z","fly51fly","2092621876560609490","https://x.com/fly51fly/status/2092621876560609490","post","2608.23691","https://arxiv.org/abs/2608.23691","[AI] Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment S Chung, W Du, W J. Wesley [DualverseAI &amp; University of California San Diego] (2026) https://t.co/440ryM9mES https://t.co/PdLOI5U0ha","2026-08-27T19:25:18.950Z"
"2026-08-26T07:04:08.000Z","rosinality","2092508377985257631","https://x.com/rosinality/status/2092508377985257631","post","2608.24814","https://arxiv.org/abs/2608.24814","https://t.co/B7qdNg62Gw Effective learning rate, the ratio of learning rate and weight norm, governs training dynamics. This could allow transferring the settings across norm control methods (by matching effective learning rate). https://t.co/MBr3c2kOqZ","2026-08-27T19:25:18.950Z"
"2026-08-25T21:57:05.000Z","fly51fly","2092370706139066802","https://x.com/fly51fly/status/2092370706139066802","post","2608.22140","https://arxiv.org/abs/2608.22140","[CL] Lexical Perturbations Disrupt LLM Reasoning: An Empirical Study of Attention Diversion J Zhu, Y Zhang, J Ding, X Yu [Missouri University of Science and Technolog &amp; University of North Texas] (2026) https://t.co/vD1BTQphte https://t.co/Wc27hWnQKq","2026-08-27T19:25:18.950Z"
"2026-08-25T21:44:15.000Z","fly51fly","2092367478802587702","https://x.com/fly51fly/status/2092367478802587702","post","2608.22444","https://arxiv.org/abs/2608.22444","[CL] Aligned Alone, Misaligned Together: Forecasting Adversarial Capture in LLM Agent Populations I Magistrali, C Shani [ETH Zurich &amp; Tel Aviv University] (2026) https://t.co/G0BsaTp7MS https://t.co/hLJkBcbBfd","2026-08-27T19:25:18.950Z"
"2026-08-25T21:34:16.000Z","fly51fly","2092364962727682072","https://x.com/fly51fly/status/2092364962727682072","post","2608.22152","https://arxiv.org/abs/2608.22152","[CL] The Collaboration Tax: How Much LLM Multi-Agent Systems Pay to Coordinate W Sun, Z Wang, H Huang, C Nelson… [University of Notre Dame &amp; Meta Superintelligence Labs] (2026) https://t.co/qNWwgIBu3G https://t.co/G0yRJjoQkM","2026-08-27T19:25:18.950Z"
"2026-08-25T21:21:43.000Z","fly51fly","2092361807868666127","https://x.com/fly51fly/status/2092361807868666127","post","2608.21500","https://arxiv.org/abs/2608.21500","[AI] SecOPD: Mitigating Adaptive Prompt Injections by On-Policy Distillation Y Peng, L Lian, D Wagner, S Chen [UC Berkeley] (2026) https://t.co/koSK5ftqvQ https://t.co/HNs2MTZBWT","2026-08-27T19:25:18.950Z"
